"ID","Timestamp","Identifier","Avg_rating","Total_answers","Total_ratings","Answer","Num_options","Question","OptionA","OptionB","OptionC","OptionD","OptionE","Explanation","Tags"
"4095262","2019-10-18 11:16:29","1805861","3.0000","134","108","D","4","<p>Kevin, the stressed medical student, is going over his case 8 statistics questions, he begins to sweat as he doesn't understand the difference between type 1 and type 2 errors. What term can a type 1 error be described as?</p>","<p>True positive&nbsp;</p>","<p>False negative&nbsp;</p>","<p>True negative&nbsp;</p>","<p>False positive&nbsp;</p>","","<p>Type 1 error is a false positive which means (in simple terms which I understood it) that H0 is true but has been rejected.&nbsp;</p><p>&nbsp;</p><p>Type 2 error is a false negative- H0 is false but its not been rejected.&nbsp;</p><p>&nbsp;</p><p>The causes of type 1 and 2 errors are:</p><p>- chance&nbsp;</p><p>- a flaw in the sampling technique&nbsp;</p><p>- a flaw in the null hypothesis&nbsp;</p><p>&nbsp;</p><p>For more information, examples and a good explanation, use the statistics video (around 15 min long) in case 8.&nbsp;</p><p>If you don't understand what H0 is referring to, check out case 7 statistics which explains H0 is the null hypothesis and HA (or H1) is the opposite, an alternative hypothesis.</p><p>Personally, since I find statistics challenging, I found referring back to the tutorial on z scores from last year helpful.&nbsp;</p>","Case 8, Maths"
"4098554","2019-10-17 09:44:33","1803939","2.7700","121","99","D","5","<p>Mrs X is pregnant, and she is talking through her birth plan with the midwife. She is considering some pain relif during labour She tells the midwife that her sister had a baby, and had some pain relif that made her feel sick, dizzy, and her mouth went dry. What drug is her sister talking about?</p>","<p>Bupivacaine&nbsp;</p>","<p>Epidural</p>","<p>Fentanyl</p>","<p>Nitrous oxide</p>","<p>Paracetamol</p>","<p>A - Bupivacaine is a regional anaesthesia and ADRs are cardiac arrhythmias, dizziness and convulsions</p><p>B - Fentanyl is a very strong opioid and ADRs are arrythmias, aconfusion, respiratory depression and constipation</p><p>C - Nitrous oxide is 'gas and air' and often makes patints feel sick, dry mouth and dizzy</p><p>D - Paracetamol is not adivised to be taken when pregnant</p><p>E - Penthidine is an opioid and&nbsp;ADRs are arrythmias, aconfusion, respiratory depression and constipation</p><p>&nbsp;</p><p>From the pharmacology lightbulb</p>","Pharmacology, Case 8"
"4098649","2019-10-17 02:29:36","1802538","3.0200","81","65","A","5","<p>Jane, a 24 year old woman has come in to see her GP the day after she had a stillbirth at 40 weeks.&nbsp;&nbsp;</p><p>&nbsp;</p><p>She is reporting breast pain and tenderness due to breast engorgement.&nbsp;</p><p>&nbsp;</p><p>What drug would the GP most likely prescribe to help Jane with her breast tenderness?</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>","<p>&nbsp;</p><p>&nbsp;</p><p>Bromocriptine (dopamine agonist)</p>","<p>&nbsp;</p><p>&nbsp;</p><p>Cenestin (oestrogen derivative)</p>","<p>&nbsp;</p><p>Follicle Stimulating Hormone&nbsp;</p>","<p>&nbsp;</p><p>Levonorgestrel (progesterone derivative)</p>","<p>Luteinising hormone</p>","<p>To inhibit lactation you need to reduce the prolactin levels in Jane's circulation.&nbsp;</p><p>&nbsp;</p><p>Dopamine acts as a prolactin inhibitor by acting on the anterior pituitary gland and inhibiting the release of prolactin. This reduction in prolactin will inhibit lactation and therefore reduce the amount of milk in Jane's breast tissue, relieving her breast tenderness.&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>","Group 57 2019"
"4098657","2019-10-19 00:37:53","1805861","2.9000","116","90","B","5","<p>Sandra, a nervous patient in her 8th week of&nbsp;primigravida just discovered she is pregnant. Worried, she asks you a few questions- she is confused about the Fetomaternal (placental) Barrier and wants to know the layers of the barrier (mentioned in the EMBRYOLOGY OF THE CARDIOVASCULAR SYSTEM lecture ;) ) starting from the maternal end, which is the correct order?&nbsp;</p>","<p>Cytotrophoblast, Syncytiotrophoblast, Basal lamina under syncytiotrophoblast, basal lamina of the endothelium of fetal capillary, endothelium of villous capillary.</p>","<p>Syncytiotrophoblast, Cytotrophoblast, Basal lamina under Cytotrophoblast, basal lamina of the endothelium of fetal capillary, endothelium of villous capillary.</p>","<p>Syncytiotrophoblast, Cytotrophoblast, Basal lamina under syncytiotrophoblast, basal lamina of the endothelium of fetal capillary, endothelium of villous capillary.</p>","<p>Endothelium of villous capillary,&nbsp;basal lamina of the endothelium of maternal capillary,&nbsp;Basal lamina under Cytotrophoblast,Cytotrophoblast,&nbsp;Syncytiotrophoblast.</p>","<p>Endothelium of villous capillary, basal lamina of the endothelium of maternal capillary, Basal lamina under Syncytiotrophoblast,Syncytiotrophoblast, Cytotrophoblast.&nbsp;</p>","<p><img src=""../images/view.php?file=352588"" alt=""no description"" /></p><p>&nbsp;</p>","Case 8, Embryology"
"4098661","2019-10-18 02:30:01","1701976","2.8800","119","94","B","4","<p>Sally is a 10-year old female who is undergoing physiological changes in her breasts. Which hormone stimulates ductal elongation and bifurcation of the lactiferous ducts?&nbsp;</p>","<p>hCG</p>","<p>Oestrogen&nbsp;</p>","<p>Oxytocin&nbsp;</p>","<p>Progesterone&nbsp;</p>","","<p>hCG - Responsible for maintaining the Corpus Luteum&nbsp;</p><p>Oestrogen - CORRECT answer. It stimulates the ductal elongation and bifurcation&nbsp;</p><p>Oxytocin - Stimulates myoepithelial cells to eject milk&nbsp;</p><p>Progesterone - Stimulates formation of immature alveoli - spherical masses of epithelial cells at the ned of each duct&nbsp;</p>","Breast, Case 8, Lactation"
"4099630","2019-10-19 10:27:20","1904563","3.3100","114","84","E","5","<p>You are on a GP placement as a medical student. A male patient comes to clinic complaining of painful testicles, dysuria and a yellow discharge coming from the urethra. Upon inspect urethritis and epididymitis is evident. The doctor you are with takes a swab as he suspects an infection.&nbsp;</p><p>Results come back and it is a gram-negative bacteria and there is absence of diplococci.</p><p>&nbsp;</p><p>What pathogen is likely to have caused this man his symptoms?</p>","<p>Uropathogenic Escherichia coli (UPEC)</p>","<p>Herpes Simplex Virus</p>","<p>Neisseria Gonorrhoeae</p>","<p>Treponema Pallidum</p>","<p>Chlamydia Trachomatis&nbsp;</p>","<p>Dysuria is when you get pain whilst urinating.</p><p>&nbsp;</p><p>A) Uropathogenic E.coli is a cause of UTIs and&nbsp;<strong>is</strong> gram-negative, however it is associated with the need to suddenly pee or pee more often than usual. However, if it was a UTI it is much more serious as he is a man and it is uncommon for men to have a UTI.</p><p>&nbsp;</p><p>B) Herpes Simplex Virus&nbsp;<strong>is</strong> associated with dysuria, but it is also associated with tingling or burning around the genitals and sometimes small blisters than leave red, open sores around the genitals, anus or thighs.</p><p>&nbsp;</p><p>C) Neisseria Gonorrhoeae&nbsp;<strong>is</strong>&nbsp;gram-negative and can give urethritis and dysuria and epididymitis and must be differentiated via nucleic acid amplification tests but on microscopy if it was N. Gonorrhoeae then diplococci bacteria would be present.&nbsp;</p><p>&nbsp;</p><p>D) Treponema Pallidum typically gives chancres on site of infection which are painless 3-weeks post-infection and can give non-itchy rashes/sores on mucous membranes and can be accompanies with fever, sore throat, patchy hair loss, head aches, muscle aches and fatigue 3 months after infection. Also treponema pallidum is microaerophillic and cannot be cultured easily&nbsp;<em>in vitro</em> so the fact that you even have a culture under normal conditions rules this option out.&nbsp;</p><p>&nbsp;</p><p><strong>E) Chlamydia trachomatis causes the corresponding symptoms, is gram-negative and doesn't have diplococci</strong></p>","UTI, Urinary tract, case 2"
"4099695","2019-10-19 10:51:58","1904563","3.6700","123","86","D","5","<p>A female patient comes to the GP complaining of dysuria, increased vaginal discharge, vaginal bleeding between periods for the past one and a half month but also complains she has been getting anal itching and noticed a bit of blood coming from her anus and sometimes some discharge more recently.</p><p>You suspect an infection and take a swab from her anus and genitals and send it off for testing and culturing.&nbsp;</p><p>&nbsp;</p><p>Results are back and the gram-staining culture is as shows:</p><p><img style=""float: left;"" src=""https://upload.wikimedia.org/wikipedia/commons/8/87/Neisseria_gonorrhoeae_PHIL_3693_lores.jpg"" alt=""Gram staining of sample"" width=""443.5"" height=""289.5"" /></p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>Laboratory results also confirm it is oxidase and catalase positive.&nbsp;</p><p>&nbsp;</p><p>What pathogen has likely caused this condition?</p>","<p>Trichomonas Vaginalis</p>","<p>Human papillomavirus (Type 6 or Type 11)</p>","<p>Herpes Simplex Virus</p>","<p>Neisseria Gonorrhoeae</p>","<p>Chlamydia Trachomatis</p>","<p>A) Trichomonas Vaginalis does cause discharge, dysuria, soreness and redness, but it also causes vaginal itching and does not cause anal infections. Trichomonas is also a protozoa and not a bacteria&nbsp;</p><p>&nbsp;</p><p>B) HPV type 6 and 11 (in contrast to type 16 and 18 which increase risk of cervical cancer) cause genital warts and it is a virus.&nbsp;</p><p>&nbsp;</p><p>C) Herpes Simplex Virus is a virus and would not be able to be seen in microscopy. It does however cause dysuria, but causes small blisters to leave red open sores around genitals, anus and thighs and causes tingling or burning around the infected area.</p><p>&nbsp;</p><p><strong>D) Neisseria Gonorrhoeae</strong> is a gram negative bacteria (as seen on microscopy as it isn't stained purple) and it is diplococci (as seen on the culture) and is oxidase and catalase positive and causes dysuria, bleeding between periods, increased vaginal discharge, and can cause rectal infections causing itchiness, bleeding, soreness and discharge from the anus althoguh rectal infection are usually asymptomatic. It can also cause painful bowel movements.</p><p>&nbsp;</p><p>E) Chlamydia does can cause similar symptoms (including the rectal symptoms) however it is not diplococci.&nbsp;</p>","UTI, Urinary tract, case 2"
"4100955","2019-10-19 23:11:27","1803622","3.0100","125","95","E","5","<p>Lessie, who is 16 weeks pregnant, arrives at the GP to talk through the results of her latest blood test.</p><p>She appears healthy and explains she has not felt too tired, dizzy and has not experienced any morning sickness throughout her pregnancy.</p><p>However, the blood test results show that she has an abnormally low count of platelets (thrombocytopenia) and clusters can be seen in the blood.</p><p>&nbsp;</p><p>What is this?</p>","<p>Aplastic anaemia</p>","<p>Gestational thrombocytopenia</p>","<p>Iron deficiency anaemia</p>","<p>Pre-eclampsia</p>","<p>Pseudothrombocytopaenia</p>","<p>Pseudothrombocytopaenia is a rare sampling error where the EDTA coagulant in blood tests can cause the platelets in the blood to form clusters.</p><p>This can therefore make it appear that the platelet counts are low. Note that Lessie has no symptoms which would often be linked to the other conditions mentioned.</p>","Haematology, Case 8"
"4101167","2019-10-20 01:06:14","1701976","2.6100","121","99","B","5","<p>Sarah is 30-weeks pregnant and has come in to see the GP after concern that she feels her heart beat very quickly, so much so that it keeps her up at night. The GP explains that this may be due to many physiological changes that occur to the maternal cardiovascular system during pregnancy.</p><p>How much does the rate rate increase by during pregnancy?&nbsp;</p>","<p>15%</p>","<p>25%</p>","<p>30%</p>","<p>40%</p>","<p>50%</p>","<p>Cardiac Output increases by 50%</p><p>Stroke Volume increases by 30%</p><p>Heart Rate increases by 25%</p>","Case 8, Pregnancy"
"4101219","2019-10-20 01:29:24","1701976","3.2400","137","105","C","5","<p>Sally is a 26-year old female who has come to a midwife clinic for a blood test. The blood test gives a Hb value of 177 g/L (normal level for a pregnant woman is 114 - 165 g/L). What is the most likely diagnosis?&nbsp;</p>","<p>Anaemia&nbsp;</p>","<p>Leukopenia&nbsp;</p>","<p>Polycythaemia&nbsp;</p>","<p>Thrombocytopenia&nbsp;</p>","<p>Thromobycythemia&nbsp;</p>","<p>The correct answer is polycythaemia because Sally has a Hb level that is too HIGH.</p><p>&nbsp;</p><p><strong>Anaemia</strong> - Hb levels too low</p><p><strong>Polycythaemia</strong> - Hb levels too high&nbsp;</p><p><strong>Leukopenia -</strong> White Blood Cells too low&nbsp;</p><p><strong>Thrombocytopenia</strong> - Platelets too low&nbsp;</p><p><strong>Thrombocythemia</strong> - Platelets too high&nbsp;</p>","Haematology, Case 8"
"4101236","2019-10-19 22:29:28","1803622","2.8600","115","87","C","5","<p>Lottie is 16 weeks pregnant and has come to her GP feeling slightly anxious due to some symptoms she has been experiencing. On observation she appears pale, and explains how she is constantly drained of any energy and has spells of dizziness. The GP takes blood from Lottie and sends it for testing.</p><p>&nbsp;</p><p>The blood results come back and show that her haemoglobin levels are at 100 g/L.</p><p>&nbsp;</p><p>The GP advises Lottie to increase her intake of which vitamin?</p>","<p>Vitamin A</p>","<p>Vitamin B</p>","<p>Vitamin C</p>","<p>Vitamin D</p>","<p>Vitamin E</p>","<p>From the description of being pale and tired/dizzy it sounds like Lottie is describing iron deficiency anaemia which is common in pregnancy. This is confirmed by the low haemoglobin levels ( Hb &lt; 104 g/L is anaemia).</p><p>It is vitamin C that improves the uptake and rate of absorption of iron in the diet and so the GP may encourage Lottie to increase vitamin C intake.</p><p>&nbsp;</p><p>Haematology plenary</p>","Haematology, Case 8"
"4101373","2019-10-20 03:44:23","1704402","2.9900","122","92","A","5","<p>So there you are, kicking back at the local arcade. Space invaders: gotta stick with the classics, right? If nostalgia is a dangerous emotion to dwell on then you're walking the tight rope of life.</p><p>&nbsp;</p><p><img src=""../images/view.php?file=352932"" alt=""no description"" /></p><p>&nbsp;</p><p><strong>PEW PEW!</strong> An armada of marauder-wannabes burst into sweet conflagration to the sound of your unbridled jubilation.</p><p>&nbsp;</p><p>But... hang on. Those aren't space invaders...</p><p>&nbsp;</p><p>You rub your eyes, wishing you'd brought your glasses, and take another look.</p><p>&nbsp;</p><p>No... now that you're a little closer, you can't believe you ever thought you were in an arcade at all. Blimey, you're in the Taly gym sitting finals! And, hold about, that's no intergalactic megalomanic crusader... that's a diagram of an early embryo!</p><p>&nbsp;</p><p><img src=""../images/view.php?file=352928"" alt=""no description"" /></p><p>&nbsp;</p><p>Hmm... what's going on in this diagram then?</p>","<p>Cells from the epiblast are signalled from the primitive node, down the primitive streak (B), to migrate (A) down to form the mesoderm.</p>","<p>The ectoderm is dividing (A) into its subsequent 3 layers: the epidermis (B), the neural crest cells, and the internal neural tube.</p>","<p>The ectoderm is migrating (A) to form structures that will later become the CNS, retina, pineal body, etc. due to signalling down the buccopharyngeal membrane (B).</p>","<p>The hypoblast is migrating (A) becoming the endoderm due to signalling down the primitive streak (B).</p><p>&nbsp;</p><p>&nbsp;</p>","<p>The neural plate is forming (A), ending the process of neurulation with the closure of the neural tube (B).</p>","<p><span style=""text-decoration: underline;""><strong>A: Cells from the epiblast are signalled from the primitive node, down the primitive streak (B), causing them to migrate down (A) to form the mesoderm.</strong></span></p><p>Correct. You can see the primitive streak leading from the primitive node, and signalling originates here during gastrulation to cause the formation of 3 layered gastrula from the 2 layered blastula (the process of gastrulation). This diagram is at 16 days.</p><p>&nbsp;</p><p><img src=""../images/view.php?file=352935"" alt=""no description"" /></p><p>&nbsp;</p><p><span style=""text-decoration: underline;"">B: The ectoderm is dividing (A) into its subsequent 3 layers: the epidermis (B), the neural crest cells, and the internal neural tube.</span></p><p>Incorrect, as this is a step after gastrulation has occured. You can see this has not happened as there are only two layers (and the third is forming): the hypoblast and the epiblast. B is not the epidermis but the primituve streak.</p><p>&nbsp;</p><p><span style=""text-decoration: underline;"">C: The ectoderm is migrating (A) to form structures that will later become the CNS, retina, pineal body, etc. due to signalling down the buccopharyngeal membrane (B).</span></p><p>Incorrect, see B. While the ectoderm does become these things, this is too early. Also, B is the primitive streak.</p><p>&nbsp;</p><p><span style=""text-decoration: underline;"">D: The hypoblast is migrating (A) becoming the endoderm due to signalling down the primitive streak (B).</span></p><p>While the hypoblast does become the endoderm after gastrulation is complete, this is a simple change in nomenclature due to the new stage and not a result of migration as described.</p><p>&nbsp;</p><p><span style=""text-decoration: underline;"">E: The neural plate is forming (A), ending the process of neurulation with the closure of the neural tube (B).</span></p><p>While this does describe neurulation, this doesn't match the diagram and neurulation occurs at a later stage (starts roughly day 20).</p>","Case 7, gastrulation, Embryology"
"4104811","2019-10-21 02:50:13","1904563","2.7700","121","101","E","5","<p>A 27 year old lady has been referred to the GP during health visitor appointments the baby has lost a bit of weight and after questioning it appears that she isn't producing enough breast milk but she was previously. When asked about how she is feeling in general she tells the health visitor she has been very stressed recently as she is a single mother and has been having issues with finances and she has lost a lot of sleep.</p><p>&nbsp;</p><p>What is the <em>most&nbsp;likely</em>&nbsp;cause of the lack of milk production</p>","<p>A Point mutation in the prolactin receptors of her breast tissue</p>","<p>Breast Carcinoma</p>","<p>Destructive pituitary adenoma</p>","<p>Hypothalamus or ectopic tumour secreting Prolactin inhibitory hormone (which is secreted by the hypothalamus normally to inhibit prolactin secretion)</p>","<p>Stress</p>","<p><strong>Stress can decrease the production of breast milk which is why mother's need a period of undisturbed&nbsp;adjustment when nurturing their child</strong></p><p>&nbsp;</p><p>A) This cannot be true as she said she was producing breast milk previously</p><p>&nbsp;</p><p>B) Possibility but unlikely</p><p>&nbsp;</p><p>C) Destructive pituitary adenoma that destroys cells releasing prolactin from the anterior pituitary gland, but is unlikely (but possible) and she is not experiencing any other symptoms that are associated with destructive pituitary adenomas.&nbsp;</p><p>&nbsp;</p><p>D) Unlikely, but possible</p><p>&nbsp;</p><p><strong>E) Most likely as she is experiencing a lot of stress and lack of sleep currently</strong></p>","Breast, Case 8, Lactation, Pregnancy, Reproduction"
"4107132","2019-10-21 22:42:48","1704402","2.9200","124","97","B","5","<p>You open the door to the house you grew up in and greet your mum. Between being on call at the hospital, playing Breath of the Wild on your new Switch, and blowing mad dolla dolla bills on flat caps to complete your Peaky Blinders aesthetic, you haven&rsquo;t had much time to see your parents. Had enough time... or made enough time. You take a few GMC-approved minutes to reflect that it&rsquo;s probably part growing up and being independent, albeit a melancholy part.</p><p>&nbsp;</p><p>&ldquo;Hiya mum, how have you been?&rdquo;</p><p>&nbsp;</p><p>&ldquo;Oh, you know me. Your father and I trundle along, I suppose.&rdquo; She ushers you towards the lounge. &ldquo;Oh! Heavens, I almost forgot to mention- a friend of yours popped round. It was, uh, oh what was his name? Samuel... McGregor, I think? Well, anyway, he&rsquo;s in the kitchen, dear. Said you&rsquo;ve been good friends ever since your days as a GP. Funny fellow, ever so eager to see you again.&rdquo;</p><p>&nbsp;</p><p>&ldquo;Samuel...?&rdquo; You don&rsquo;t know anyone by that name. You&rsquo;re not entirely sure anyone&rsquo;s even been called Samuel since the days of Dickens. It&rsquo;s all Shenequas and Mercedes nowawadays.</p><p>&nbsp;</p><p>You open the door and feel your knees go weak. &ldquo;Not again,&rdquo; you whisper. &ldquo;Please...&rdquo;</p><p>&nbsp;</p><p>&ldquo;Something the matter, dear?&rdquo; says mum.</p><p>&nbsp;</p><p>&ldquo;Yes. What&rsquo;s the matter, <em>friend</em>?&rdquo; adds none other than <span style=""text-decoration: underline;"">Sideburns McGee</span> from <em>your</em> couch, laughing at classic vines with <em>your</em> dad. He is the bane of your illustrious medical career, the antithesis to your thesis, the Zarathustra to your moral compass, a force of quizzical curiosity warped to abject obsession. Word on the street is he&rsquo;s trying to found a religion called hypochondriacism.</p><p>&nbsp;</p><p><img src=""../images/view.php?file=353311"" alt=""no description"" /></p><p>&nbsp;</p><p>&ldquo;Oh, uh, hi... Sideburns.&rdquo;</p><p>&nbsp;</p><p>&ldquo;I was just discussing your father&rsquo;s rich medical history. Did you know he has Klinefelter syndrome?&rdquo;</p><p>&nbsp;</p><p>&ldquo;Yeah, he is my dad. Hey, can I have a word with you? Alone.&rdquo;</p><p>&nbsp;</p><p>&ldquo;Sure... <em>buddy</em>.&rdquo;</p><p>&nbsp;</p><p>The two of you go to the hallway. &ldquo;What are you doing here, Sideburns!?&rdquo; you hiss. ""I see you more than my wife these days for crying out loud. You have to leave me and my family alone with your... questions!&rdquo;</p><p>&nbsp;</p><p>&ldquo;But doc, I just needs to know something! I was fascinated to hear about your dad- just how did he get that condition?&rdquo;</p><p>&nbsp;</p><p>You rub your eyes and wonder when all this will end.</p>","<p>Anaphase lag during the earliest divisions of development, giving karyotype 47,XYY</p>","<p>Non-dysjunction during meisosis I of paternal gamete, giving karyotype 47,XXY</p>","<p>Non-dysjunction during meiosis II of paternal gamete, giving karyotype 47,XXY</p>","<p>Trisomy rescue during the earliest divisions of development, giving karyotype 47,XXY</p>","<p>Trisomy rescue during the earliest divisions of development, giving karyotype 47,XYY</p>","<p><span style=""text-decoration: underline;"">A: Anaphase lag during the earliest divisions of development, giving karyotype 47,XYY</span></p><p>Incorrect, as anaphase lag is the failure of a chromosome or chromatid to be incorporated into a daughter cell following cell division. It can cause aneuploidies like monosomy X, but is mainly linked to aggressive cancers as a result of genetic instability. This is the incorrect karyotype as well.</p><p>&nbsp;</p><p><strong><span style=""text-decoration: underline;"">B: Non-dysjunction during meisosis I of paternal gamete, giving karyotype 47,XXY</span></strong></p><p><strong>Correct. Non-dysjunction is failure of chromosomes to separate, and can happen during meiosis I or II. However, to cause Klinefelter, non-dysjunction would have to occur during meiosis I for gametes to be 24, XY, which would then fertilise a normal egg to give 47,XXY. Klinefelter is characterised by small testicles, low muscle tone, taller than normal, and infertile (assisted fertility treatment can allow reproduction before you question the ontological possibility of our protagonist). Non-dysjunction of the maternal gametes can also cause this.<br /></strong></p><p>&nbsp;</p><p><strong><img src=""../images/view.php?file=353314"" alt=""no description"" /></strong></p><p>&nbsp;</p><p>Non-dysjunction during meiosis I of sperm above and during meiosis II in ovum below.</p><p>&nbsp;</p><p>&nbsp;</p><p><strong><img src=""../images/view.php?file=353315"" alt=""no description"" /></strong></p><p>&nbsp;</p><p><span style=""text-decoration: underline;"">C: Non-dysjunction during meiosis II of paternal gamete, giving karyotype 47,XXY</span></p><p>While non-dysjunction in meiosis II of an ovum could give rise to 47,XXY, in a sperm this will give gametes with karyotypes 24, XX and 24, YY. These would go on to fertilise a normal egg and form 47,XXX or 47,XYY, neither of which are Klinefelter syndrome.</p><p>&nbsp;</p><p><span style=""text-decoration: underline;"">D: Trisomy rescue during the earliest divisions of development, giving karyotype 47,XXY</span></p><p>Trisomy rescue occurs when a meiotic trisomy loses a duplicated chromosome, giving disomy again. There is a risk of uniparental disomy, which causes its own issues, but not Klinefelter.</p><p>&nbsp;</p><p><span style=""text-decoration: underline;"">E: Trisomy rescue during the earliest divisions of development, giving karyotype 47,XYY</span></p><p>See above and also incorrect karyotype.</p>","Case 7, Chromosomal Abnormalities"
"4108511","2019-10-22 09:51:22","1805861","2.9400","138","110","D","5","<p>Liz, a 19 year old Cardiff Metropolitan psychology student presents to your GP placement with an incident of mumps (negative ssRNA). Since mumps is a virus, the GP tests your knowledge and asks which&nbsp;type of <strong>nucleic acid</strong> in virons would be <strong>least likely</strong> to contain <strong>enzymes to make mRNA</strong>?</p>","<p>single stranded DNA&nbsp;</p>","<p>single stranded negative RNA&nbsp;</p>","<p>double stranded DNA&nbsp;</p>","<p>single stranded positive RNA&nbsp;</p>","<p>double stranded RNA</p>","<p>Virons with positive single stranded RNA basically have an already made mRNA so they do not need enzymes to make mRNA.&nbsp;</p><p>negative single stranded RNA has to be converted into positive RNA&nbsp;</p><p>positive double stranded DNA had to be unzipped before translated into RNA&nbsp;</p><p>&nbsp;</p><p>Check out the virology tutorial 1 and look over last years immunology notes&nbsp;&nbsp;</p>","case 9, immunology"
"4110418","2019-10-17 09:51:26","1803939","3.0300","116","86","E","5","<p>Mrs X is in labour, and she is in a lot of pain. She starts hyperventilating, and she is warned that this can cause reduced foetal O2 delivery. What causes this reduced foetal O2 delivery?</p>","<p>Decreased affinity maternal Hb for O2</p>","<p>Increased maternal CO2</p>","<p>Maternal acidosis</p>","<p>Right shift in mother's oxyHb dissociation curve</p>","<p>Uterine artery vasoconstriction</p>","<p>Pain can cause a sympathetic stimulatio (fight or flight) and can cause</p><p>- hyperventilation</p><p>--&gt; decrease CO2</p><p>--&gt; maternal alkalosis</p><p>--&gt; uterine artery vasoconstriction</p><p>--&gt; decrease uteroplacental blood flow</p><p>--&gt; reduced foetal O2 delivery</p><p>&nbsp;</p><p>And</p><p>--&gt; left shift in mother's oxyHb dissociation curve</p><p>--&gt; increased affinity maternal Hb for O2</p><p>--&gt; reduced foetal O2 delivery</p><p>&nbsp;</p><p>&nbsp;</p>","Pregnancy, Case 8, pain"
